Record_ID,Hour_of_Day,Road_Type,Weather,Traffic_Density,Speed_Limit,Reported_Severity,NLP_Risk_Flag,Corrected_Severity
0,18,Urban,Clear,79,40,0,0,0
1,17,Rural,Fog,78,60,0,0,0
2,13,Rural,Clear,47,60,0,0,0
3,5,Highway,Clear,59,100,0,0,0
4,3,Rural,Clear,36,60,0,0,0
5,1,Rural,Snow,26,60,0,0,0
6,10,Urban,Clear,69,40,0,0,0
7,1,Highway,Fog,59,100,1,1,1
8,21,Highway,Rain,52,100,0,0,0
9,15,Highway,Clear,45,100,0,0,0
10,15,Rural,Fog,28,60,0,0,0
11,18,Urban,Rain,76,40,0,0,0
12,2,Rural,Clear,39,60,0,0,0
13,2,Highway,Clear,35,100,0,0,0
14,6,Rural,Rain,47,60,0,0,0
15,21,Highway,Clear,38,100,0,0,0
16,11,Highway,Clear,58,100,0,0,0
17,20,Highway,Clear,40,100,0,0,0
18,5,Rural,Clear,20,60,0,0,0
19,9,Highway,Rain,76,100,0,0,0
20,23,Highway,Clear,47,100,0,0,0
21,9,Highway,Clear,86,100,0,0,0
22,1,Urban,Clear,37,40,0,0,0
23,9,Highway,Clear,79,100,0,0,0
24,12,Urban,Rain,22,40,0,0,0
25,21,Rural,Clear,43,60,0,0,0
26,0,Rural,Clear,44,60,0,0,0
27,3,Urban,Snow,41,40,0,0,0
28,4,Urban,Clear,34,40,0,0,0
29,23,Highway,Rain,46,100,1,1,1
30,5,Rural,Rain,38,60,0,0,0
31,2,Highway,Clear,49,100,0,0,0
32,4,Highway,Clear,38,100,0,0,0
33,11,Highway,Clear,41,100,0,0,0
34,4,Rural,Clear,27,60,0,0,0
35,3,Rural,Clear,23,60,0,0,0
36,10,Highway,Clear,92,100,0,0,0
37,21,Urban,Snow,29,40,0,0,0
38,12,Rural,Clear,22,60,0,0,0
39,13,Rural,Rain,23,60,0,0,0
40,22,Urban,Clear,39,40,0,0,0
41,8,Highway,Clear,92,100,0,0,0
42,6,Urban,Rain,20,40,0,0,0
43,16,Urban,Clear,27,40,0,0,0
44,0,Rural,Clear,34,60,0,0,0
45,8,Rural,Rain,74,60,0,0,0
46,18,Rural,Rain,89,60,0,0,0
47,15,Rural,Clear,31,60,0,0,0
48,5,Urban,Fog,49,40,0,0,0
49,23,Urban,Clear,32,40,0,0,0
50,8,Rural,Clear,79,60,0,0,0
51,15,Highway,Rain,55,100,0,0,0
52,4,Highway,Clear,50,100,0,0,0
53,3,Urban,Rain,20,40,0,0,0
54,14,Highway,Clear,38,100,0,0,0
55,16,Rural,Clear,22,60,0,0,0
56,1,Highway,Clear,42,100,1,1,1
57,3,Rural,Rain,25,60,0,0,0
58,20,Highway,Clear,57,100,0,0,0
59,0,Urban,Clear,34,40,0,0,0
60,5,Rural,Rain,25,60,0,0,0
61,23,Urban,Rain,23,40,0,0,0
62,23,Urban,Clear,37,40,0,0,0
63,23,Rural,Clear,43,60,0,0,0
64,0,Highway,Rain,41,100,1,1,1
65,1,Highway,Clear,37,100,1,1,1
66,7,Rural,Clear,31,60,0,0,0
67,7,Urban,Rain,31,40,0,0,0
68,22,Rural,Clear,36,60,0,0,0
69,14,Rural,Snow,48,60,0,0,0
70,2,Rural,Clear,45,60,0,0,0
71,23,Urban,Clear,48,40,0,0,0
72,14,Rural,Clear,24,60,0,0,0
73,11,Highway,Clear,32,100,0,0,0
74,2,Urban,Rain,24,40,0,0,0
75,15,Rural,Snow,27,60,0,0,0
76,18,Urban,Clear,71,40,0,0,0
77,17,Highway,Rain,99,100,1,1,1
78,23,Highway,Clear,32,100,0,0,0
79,13,Urban,Rain,42,40,0,0,0
80,14,Highway,Rain,47,100,0,0,0
81,23,Highway,Rain,53,100,1,1,1
82,17,Urban,Fog,83,40,0,0,0
83,9,Urban,Clear,78,40,0,0,0
84,10,Highway,Clear,100,100,0,0,0
85,3,Highway,Rain,46,100,1,1,1
